company,loan_type,product_name,rate,required_doc,features,benefits,fees_charges,tenure,application_form_url,product_disclosure_url,terms_conditions_url,preferred_customer_type,source_url
Alliance Bank Malaysia Berhad,CREDIT_CARD,Credit Card type,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Credit Card usage,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Credit Cards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,FAQs about Alliance Bank Malaysia's Credit Cards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Basic Credit Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Infinite Credit Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Platinum Credit Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Signature Credit Card,5%,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Signature Credit Card for Alliance Privilege,8%,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Virtual Credit Card (Dental Mall),请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Virtual Credit Card (JomCharge),请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Virtual Credit Card (MCash),请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Virtual Credit Card (MetaFin),请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Virtual Credit Card (MyTaman),请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Virtual Credit Card (WOWNations),请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Virtual Credit Card (allianceonline mobile app),请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Visa Virtual Credit Card (redONE),请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,You:nique Gold Credit Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,1. How do I open a Fixed Deposit account with Alliance Bank?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,2. Can I place a Fixed Deposit online or through the mobile app?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,3.	When will I receive the interest from my Fixed Deposit?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,4. Can I withdraw my Fixed Deposit early? What are the penalties?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,5.	What happens to my Fixed Deposit when it matures?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,7. How can I track or manage my Fixed Deposit after placement?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,8. Will I get a Fixed Deposit certificate or receipt?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,9. Can I open more than one Fixed Deposit account?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,Apply for Fixed Deposit,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,"Enjoy higher interest rates, flexi tenure and complete peace of mind with our fixed deposits.",请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,FAQs about Alliance Bank’s Fixed Deposit Account,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,Fixed Deposit,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
Alliance Bank Malaysia Berhad,FIXED_DEPOSIT,The Ideal Fixed Deposits?It's Right Here.,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/fixed-deposit
AmBank (M) Berhad,CREDIT_CARD,AmBank BonusLink Visa Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank BonusLink Visa Gold Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank Cash Rebate Visa Platinum Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank Enrich Visa Credit Cards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank Islamic Visa Platinum CARz Card,5%,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank M-Gold Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank M-Platinum Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank M-Signature Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank SIGNATURE Priority Banking - The Metal Visa Infinite Credit Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank SIGNATURE Priority Banking Visa Infinite Credit Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank SIGNATURE Priority Banking Visa Infinite Credit Card-i,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank True Visa Card,3%,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank UnionPay Platinum Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic Mastercard Gold Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic Mastercard Platinum Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic Mastercard Platinum Carz Card,5%,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic SIGNATURE Priority Banking World Mastercard,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic Visa Carz Card,3%,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic Visa Gold Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic Visa Infinite,5%,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/cards/credit-cards/ambank-islamic-visa-infinite#lead-form
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic Visa Platinum Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic Visa Signature Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,AmBank/AmBank Islamic World Mastercard,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,Credit Cards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,Debit Cards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
AmBank (M) Berhad,CREDIT_CARD,Personal,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.ambank.com.my/Cards/Credit-Cards
CIMB Bank Berhad,FIXED_DEPOSIT,Benefits & Privileges,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.cimb.com.my/fd
CIMB Bank Berhad,FIXED_DEPOSIT,FIXED DEPOSIT,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.cimb.com.my/fd
CIMB Bank Berhad,FIXED_DEPOSIT,Here’s how you can make your fixed deposit placement online via CIMB Clicks on desktop,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.cimb.com.my/fd
HSBC Bank Malaysia Berhad,CAR_LOAN,Cash Instalment Plan,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards/features/cash-instalment-plan/
HSBC Bank Malaysia Berhad,CAR_LOAN,Debit cards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards
HSBC Bank Malaysia Berhad,CAR_LOAN,Earn up to RM200 cashback,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://sp.hsbc.com.my/cc-apply-online/credit-card-application?gift_type=CBQ425&pid=HBMY:EC:CCardCB:CAM:CC:PWSOffer
HSBC Bank Malaysia Berhad,CAR_LOAN,Financing,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards
HSBC Bank Malaysia Berhad,CREDIT_CARD,Credit card rewards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards
HSBC Bank Malaysia Berhad,CREDIT_CARD,Credit card-i,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/personal-financing
HSBC Bank Malaysia Berhad,CREDIT_CARD,Credit cards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards
HSBC Bank Malaysia Berhad,CREDIT_CARD,Credit cards-i,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbcamanah.com.my/credit-cards/
HSBC Bank Malaysia Berhad,CREDIT_CARD,HSBC Amanah MPower Credit Card-i,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbcamanah.com.my/credit-cards/products/mpower-platinum-i/
HSBC Bank Malaysia Berhad,CREDIT_CARD,HSBC Live+ Credit Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards/products/liveplus/
HSBC Bank Malaysia Berhad,CREDIT_CARD,HSBC TravelOne Credit Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards/products/travelone/
HSBC Bank Malaysia Berhad,CREDIT_CARD,HSBC Visa Signature Credit Card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards/products/visa-signature/
HSBC Bank Malaysia Berhad,CREDIT_CARD,Making the most of your credit card,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards
HSBC Bank Malaysia Berhad,CREDIT_CARD,Our most popular credit cards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards
HSBC Bank Malaysia Berhad,HOME_LOAN,HomeSmart-i,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/personal-financing
HSBC Bank Malaysia Berhad,HOME_LOAN,Mortgages,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards
HSBC Bank Malaysia Berhad,PERSONAL_LOAN,Enjoy quick cash disbursement upon approval when you apply for HSBC Amanah Personal Financing-i. Apply now!,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/personal-financing
HSBC Bank Malaysia Berhad,PERSONAL_LOAN,Financing Concepts 101,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/personal-financing
HSBC Bank Malaysia Berhad,PERSONAL_LOAN,HSBC Amanah Personal Financing-i,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/personal-financing
HSBC Bank Malaysia Berhad,PERSONAL_LOAN,Personal,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/personal-financing
HSBC Bank Malaysia Berhad,PERSONAL_LOAN,Personal financing,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hsbc.com.my/credit-cards
Hong Leong Bank Berhad,CREDIT_CARD,Credit Card Name,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hlb.com.my/sme
Hong Leong Bank Berhad,FIXED_DEPOSIT,Features & Benefits,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hlb.com.my/fd#pills-0
Hong Leong Bank Berhad,FIXED_DEPOSIT,Fixed Deposit Account,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hlb.com.my/fd
Hong Leong Bank Berhad,FIXED_DEPOSIT,The perfect beginning for long-term savings,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hlb.com.my/fd
Hong Leong Bank Berhad,PERSONAL_LOAN,"SME Banking: Business Account, Cash Loans, SME Forex - Hong Leong Bank",请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hlb.com.my/sme
Hong Leong Bank Berhad,SME_LOAN,All Products,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.hlb.com.my/en/business-banking/group-sme-banking/loan/sme-solar-financing.html
